iso1,iso2,group,community
-13,14.2,GreyReef,Egmont
-16.3,14.3,GreyReef,Egmont
-15.6,14.2,GreyReef,Egmont
-16.1,14.3,Silvertip,Egmont
-14.9,14,GreyReef,Egmont
-14,14.7,GreyReef,Egmont
-15.2,13.9,Silvertip,Egmont
-15.9,14.7,Silvertip,Egmont
-15.8,14.7,Silvertip,Egmont
-13.2,12.5,Silvertip,Egmont
-15.9,14.1,Silvertip,Egmont
-16.6,13.8,Silvertip,Egmont
-14.9,14.7,GreyReef,Egmont
-14.1,14.9,GreyReef,Egmont
-14.6,15.5,GreyReef,Egmont
-15.8,14.7,Silvertip,Peros Banhos
-16.8,16.8,GreyReef,Peros Banhos
-15.1,14.6,GreyReef,Peros Banhos
-15.1,14.3,GreyReef,Peros Banhos
-16.2,14.9,GreyReef,Peros Banhos
-15.9,14.7,GreyReef,Peros Banhos
-13.7,11,GreyReef,Peros Banhos
-15.5,14.7,GreyReef,Peros Banhos
-16.2,14.3,Silvertip,Peros Banhos
-19.5,17.1,GreyReef,Peros Banhos
-16,14.7,GreyReef,Peros Banhos
-13.7,11.4,GreyReef,Peros Banhos
-15.4,14.8,GreyReef,Peros Banhos
-13.7,14.9,GreyReef,Peros Banhos
-13.5,12.2,GreyReef,Peros Banhos
-15.5,13.9,GreyReef,Peros Banhos
-15.6,14.7,GreyReef,Peros Banhos
-15.9,13.8,Silvertip,Peros Banhos
-13.3,14.3,GreyReef,Peros Banhos
-13.9,12.6,GreyReef,Peros Banhos
-12.8,13.3,GreyReef,Peros Banhos
-15.6,14.9,GreyReef,Peros Banhos
-16,13.6,Silvertip,Peros Banhos
-13.1,13.1,Silvertip,Salomon
-16.1,14.7,Silvertip,Salomon
-16.8,13.7,Silvertip,Salomon
-16.3,14.5,Silvertip,Salomon
-16.2,14.6,Silvertip,Salomon
-15.2,12.7,Silvertip,Salomon
-15.5,14.2,GreyReef,Salomon
-14.7,14.2,Silvertip,Peros Banhos
-13.2,14.2,GreyReef,Salomon
-12.3,13.5,GreyReef,Salomon
-15.7,14.9,Silvertip,Salomon
-15,14.8,GreyReef,Salomon
-15,15.5,Silvertip,Salomon
-15.9,14.9,Silvertip,Salomon
-16.3,15.7,Silvertip,Salomon
-15.7,14.8,Silvertip,Salomon
-15,14.2,GreyReef,Salomon
-15.9,13.7,Silvertip,Salomon
-15.6,14.7,Silvertip,Salomon
-15.4,14.6,GreyReef,Salomon
-13.2,14.4,GreyReef,Salomon
-15.6,14.6,Silvertip,Salomon
-17,16.6,GreyReef,Salomon
-16,15,GreyReef,Salomon
-14,14.6,GreyReef,Salomon
-15.1,14.5,Silvertip,Salomon
-15.1,14.1,GreyReef,Salomon
-15,14.7,Silvertip,Salomon
-15.5,13.6,GreyReef,Peros Banhos
-15.7,14.1,GreyReef,Peros Banhos
-16.3,14.1,Silvertip,Peros Banhos
-16.1,14.3,Silvertip,Peros Banhos
-16.5,14,Silvertip,Peros Banhos
-16.3,14.4,Silvertip,Peros Banhos
-15.9,14.5,GreyReef,Peros Banhos
-15.36326706,12.88037914,Silvertip,Diego Garcia
-15.00584994,13.14248347,Silvertip,Diego Garcia
-16.00917789,14.10295562,Silvertip,Diego Garcia
-13.46491937,12.54487175,Silvertip,Diego Garcia
-14.81581824,13.54516159,Silvertip,Diego Garcia
-14.64843281,13.10266577,Silvertip,Diego Garcia
-13.16953332,12.08679509,Silvertip,Diego Garcia
-9.797209254,14.16735642,GreyReef,Diego Garcia
-12.49506851,12.6622474,GreyReef,Diego Garcia
-15.80733075,13.435057,GreyReef,Diego Garcia
-14.43477024,14.25564784,GreyReef,Diego Garcia
-12.75993134,13.15148574,GreyReef,Diego Garcia
-15.17225074,14.40418517,Silvertip,Diego Garcia
-14.42590866,12.93439272,Silvertip,Diego Garcia
-15.57496039,14.29615802,Silvertip,Diego Garcia
-11.82355756,13.81003585,GreyReef,Diego Garcia
-12.1918055,14.4426179,GreyReef,Diego Garcia
-13.04251732,13.91910172,GreyReef,Diego Garcia
-13.47378096,14.58700034,GreyReef,Diego Garcia
-13.05925587,12.7588486,Silvertip,Diego Garcia
-15.00781918,14.63478158,GreyReef,Diego Garcia
-14.50566289,13.73213166,GreyReef,Diego Garcia
-15.99736244,14.61400713,GreyReef,Diego Garcia
-12.02343545,13.86508815,GreyReef,Diego Garcia
-14.73409477,14.562071,GreyReef,Diego Garcia
-12.96276309,13.41012766,GreyReef,Diego Garcia
